Dermatology Data Dataset - K-Means Clurstering
K	SSE	NMI
1	12444.0	0.0
2	9876.04736834	0.535070726259
3	7475.56226951	0.746136685752
4	6785.35272369	0.874627379449
5	6578.15929343	0.805872154954
6	5706.41748371	0.878001155971
7	5495.66979779	0.822697393559
8	5442.18602468	0.844507417375
9	5158.53145662	0.807060187249
10	5112.84756292	0.741788648938
11	5027.08847244	0.795464147221
12	4945.26482883	0.787455196267

Vowels Data Dataset - K-Means Clurstering
K	SSE	NMI
1	9900.0	0.0
2	8140.2119693	0.0664866309359
3	7088.21648008	0.126507486905
4	6079.92458831	0.206727277943
5	5609.83119666	0.316291665715
6	5287.88772275	0.30199483471
7	5028.59192054	0.330507488011
8	4820.96477279	0.340294332934
9	4711.61789329	0.315763790078
10	4433.19318513	0.350990121895
11	4243.78295703	0.360168376221
12	3988.34902969	0.364019200192
13	3895.71549595	0.37948177091
14	3720.08457715	0.424890932155
15	3645.3458249	0.421326337262
16	3487.47326499	0.418341335374
17	3415.51134091	0.417046421643
18	3411.07597727	0.438490541923
19	3276.43238853	0.437520586528
20	3211.09901148	0.457975427852
21	3140.76115527	0.449208194624
22	3103.17407819	0.447086611708

Glass Data Dataset - K-Means Clurstering
K	SSE	NMI
1	1916.68134295	0.0
2	1598.18800859	0.0239213539786
3	1232.94522964	0.296866539913
4	1090.92626937	0.338969445324
5	964.703609443	0.303111006134
6	883.747598466	0.362408167944
7	882.180816372	0.321302121857
8	716.769075088	0.305442296836
9	650.130683473	0.322652568614
10	578.841994255	0.367310798571
11	539.427438202	0.332218003338
12	505.268167681	0.339185334537

Ecoli Data Dataset - K-Means Clurstering
K	SSE	NMI
1	1962.0	0.0
2	1397.63885174	0.42904179419
3	1051.38486088	0.64278759953
4	956.245563449	0.64915697665
5	885.598225766	0.632526628816
6	810.370473919	0.636529008339
7	563.102123271	0.590313209114
8	487.756703492	0.551106589744
9	426.98951676	0.563523897223
10	416.772816089	0.600424867668

Yeast Data Dataset - K-Means Clurstering
K	SSE	NMI
1	11526.0261528	0.0
2	9929.50935748	0.139924779945
3	9049.23156319	0.145723125592
4	8223.64576987	0.19468805872
5	7705.55601021	0.290593771039
6	7233.85061197	0.287616066035
7	6850.0994787	0.286519408981
8	4380.43390867	0.312793624321
9	4019.82980199	0.30299947402
10	3890.75566548	0.299655916366
11	3722.85765813	0.288558021352
12	3633.27821907	0.276839504974
13	3540.49520905	0.270410643545
14	3463.70726864	0.271855382457
15	3363.35892124	0.268831790781
16	3193.13044847	0.26869816593
17	3119.19619524	0.27639785844
18	3057.3491053	0.27090418918

Soybean Data Dataset - K-Means Clurstering
K	SSE	NMI
1	10086.4199292	0.0
2	8622.45912032	0.312547703907
3	7871.70012159	0.416924040909
4	7482.92258839	0.469653531826
5	6711.95861772	0.613542795968
6	6454.21405037	0.549362393882
7	5911.54397887	0.617933024724
8	6240.94455516	0.585672203294
9	5755.00434448	0.562375010882
10	5341.17211337	0.640022294899
11	5204.44381918	0.669905474511
12	4205.13052384	0.688164364689
13	4578.15566042	0.689177181598
14	4741.64245539	0.648089708286
15	4043.7105925	0.711038108178
16	4049.65833911	0.691884041976
17	3923.91143428	0.663400187062
18	3927.94674744	0.678946278282
19	3636.86670018	0.738470935616
20	3377.05138365	0.734748338075
21	3199.08165341	0.726462893831
22	3483.96388682	0.711966400622
23	3031.24334763	0.727322197008
24	3389.12034898	0.680978489183
25	3318.6953973	0.690521757616
26	3431.35917334	0.676435436067
27	2665.50716954	0.706139204254
28	3012.05462521	0.685988782775
29	2887.72579092	0.678366550228
30	3058.71448551	0.667146774158

Dermatology Data Dataset - GMM Clurstering
K	SSE	NMI
1	12444.0	0.0
2	10981.5995124	0.296077017872
3	9823.07491882	0.393179214439
4	9687.87191921	0.414378975163
5	7266.93835103	0.566867024387
6	6962.05588305	0.622858140019
7	7004.87182683	0.597271904772
8	5970.97140885	0.669615879776
9	6850.6560031	0.559170096386
10	6342.53961777	0.671961767143
11	6074.01979186	0.610861512211
12	6232.83666979	0.560597359558

Vowels Data Dataset - GMM Clurstering
K	SSE	NMI
1	9900.0	0.0
2	8573.7715163	0.0247746869446
3	7821.95684017	0.0503675606482
4	7625.87458171	0.152226610959
5	7530.86524127	0.148107172468
6	6861.57362186	0.199449269773
7	6503.59702928	0.183128773722
8	6120.19790703	0.241018594322
9	5633.7179317	0.294044113975
10	5485.77234803	0.309011456205
11	5158.43357585	0.31657291747
12	5151.28552256	0.293217189574
13	5150.81337231	0.295023321166
14	5100.46220815	0.331386631788
15	4694.2033316	0.332723316852
16	4443.14868499	0.340135356191
17	4538.4062602	0.351229624678
18	4318.60920233	0.349320184228
19	4528.57919121	0.361841143459
20	4592.54152231	0.355431059455
21	3960.92227831	0.390976705718
22	4262.65495774	0.360095268884

Glass Data Dataset - GMM Clurstering
K	SSE	NMI
1	1916.68134295	0.0
2	1760.76495232	0.0292297821786
3	1530.76634717	0.0966086226017
4	1442.43898399	0.29678226702
5	1265.35468968	0.22151520642
6	1213.5925315	0.199354975534
7	1113.0250395	0.257069557188
8	1139.55366184	0.243090994404
9	906.074886603	0.319622037969
10	1136.20142143	0.252820350994
11	908.953246181	0.249206959997
12	879.85682207	0.255971189646

Ecoli Data Dataset - GMM Clurstering
K	SSE	NMI
1	1962.0	0.0
2	1794.34175915	0.126300574291
3	1547.81615984	0.305025970663
4	1113.56977456	0.484482297944
5	1133.54084226	0.418032043181
6	1034.31154641	0.430410015389
7	995.213287854	0.539090055346
8	954.205026788	0.536156831533
9	893.9572677	0.548678875501
10	620.557159812	0.489130529022

Yeast Data Dataset - GMM Clurstering
K	SSE	NMI
1	11526.0261528	0.0
2	10225.8253305	0.162086920777
3	9883.14632775	0.0778261182499
4	9541.83930743	0.118726262802
